_N_ Pl Abe	N card pl abes			
_N_ Sg Com	N card sg kom			
_N_ Pl Com	N card pl kom			


_O_ ?	N ord ? roman			
_O_ ?	N ord ? digit			

_O_ Sg Nom	N ord sg nom			
_O_ Pl Nom	N ord pl nom			
_O_ Sg Gen	N ord sg gen			
_O_ Pl Gen	N ord pl gen			
_O_ Sg Par	N ord sg part			
_O_ Pl Par	N ord pl part			
_O_ Sg Ill	N ord sg ill			
_O_ Pl Ill	N ord pl ill			
_O_ Sg Ine	N ord sg in			
_O_ Pl Ine	N ord pl in			
_O_ Sg Ela	N ord sg el			
_O_ Pl Ela	N ord pl el			
_O_ Sg All	N ord sg all			
_O_ Pl All	N ord pl all			
_O_ Sg Ade	N ord sg ad			
_O_ Pl Ade	N ord pl ad			
_O_ Sg Abl	N ord sg abl			
_O_ Pl Abl	N ord pl abl			
_O_ Sg Tra	N ord sg tr			
_O_ Pl Tra	N ord pl tr			
_O_ Sg Trm	N ord sg term			
_O_ Pl Trm	N ord pl term			
_O_ Sg Ess	N ord sg es			
_O_ Pl Ess	N ord pl es			
_O_ Sg Abe	N ord sg abes			
_O_ Pl Abe	N ord pl abes			
_O_ Sg Com	N ord sg kom			
_O_ Pl Com	N ord pl kom			


_P_ Sg Nom	P pers ps1 sg nom	l+mina
_P_ Pl Nom	P pers ps1 pl nom	l+mina
_P_ Sg Gen	P pers ps1 sg gen	l+mina
_P_ Pl Gen	P pers ps1 pl gen	l+mina
_P_ Sg Par	P pers ps1 sg part	l+mina
_P_ Pl Par	P pers ps1 pl part	l+mina
_P_ Sg Ill	P pers ps1 sg ill	l+mina
_P_ Pl Ill	P pers ps1 pl ill	l+mina
_P_ Sg Ine	P pers ps1 sg in	l+mina
_P_ Pl Ine	P pers ps1 pl in	l+mina
_P_ Sg Ela	P pers ps1 sg el	l+mina
_P_ Pl Ela	P pers ps1 pl el	l+mina
_P_ Sg All	P pers ps1 sg all	l+mina
_P_ Pl All	P pers ps1 pl all	l+mina
_P_ Sg Ade	P pers ps1 sg ad	l+mina
_P_ Pl Ade	P pers ps1 pl ad	l+mina
_P_ Sg Abl	P pers ps1 sg abl	l+mina
_P_ Pl Abl	P pers ps1 pl abl	l+mina
_P_ Sg Tra	P pers ps1 sg tr	l+mina
_P_ Pl Tra	P pers ps1 pl tr	l+mina
_P_ Sg Trm	P pers ps1 sg term	l+mina
_P_ Pl Trm	P pers ps1 pl term	l+mina
_P_ Sg Ess	P pers ps1 sg es	l+mina
_P_ Pl Ess	P pers ps1 pl es	l+mina
_P_ Sg Abe	P pers ps1 sg abes	l+mina
_P_ Pl Abe	P pers ps1 pl abes	l+mina
_P_ Sg Com	P pers ps1 sg kom	l+mina
_P_ Pl Com	P pers ps1 pl kom	l+mina

_P_ Sg Nom	P pers ps2 sg nom	l+sina
_P_ Pl Nom	P pers ps2 pl nom	l+sina
_P_ Sg Gen	P pers ps2 sg gen	l+sina
_P_ Pl Gen	P pers ps2 pl gen	l+sina
_P_ Sg Par	P pers ps2 sg part	l+sina
_P_ Pl Par	P pers ps2 pl part	l+sina
_P_ Sg Ill	P pers ps2 sg ill	l+sina
_P_ Pl Ill	P pers ps2 pl ill	l+sina
_P_ Sg Ine	P pers ps2 sg in	l+sina
_P_ Pl Ine	P pers ps2 pl in	l+sina
_P_ Sg Ela	P pers ps2 sg el	l+sina
_P_ Pl Ela	P pers ps2 pl el	l+sina
_P_ Sg All	P pers ps2 sg all	l+sina
_P_ Pl All	P pers ps2 pl all	l+sina
_P_ Sg Ade	P pers ps2 sg ad	l+sina
_P_ Pl Ade	P pers ps2 pl ad	l+sina
_P_ Sg Abl	P pers ps2 sg abl	l+sina
_P_ Pl Abl	P pers ps2 pl abl	l+sina
_P_ Sg Tra	P pers ps2 sg tr	l+sina
_P_ Pl Tra	P pers ps2 pl tr	l+sina
_P_ Sg Trm	P pers ps2 sg term	l+sina
_P_ Pl Trm	P pers ps2 pl term	l+sina
_P_ Sg Ess	P pers ps2 sg es	l+sina
_P_ Pl Ess	P pers ps2 pl es	l+sina
_P_ Sg Abe	P pers ps2 sg abes	l+sina
_P_ Pl Abe	P pers ps2 pl abes	l+sina
_P_ Sg Com	P pers ps2 sg kom	l+sina
_P_ Pl Com	P pers ps2 pl kom	l+sina

_P_ Sg Nom	P pers ps3 sg nom	l+tema
_P_ Pl Nom	P pers ps3 pl nom	l+tema
_P_ Sg Gen	P pers ps3 sg gen	l+tema
_P_ Pl Gen	P pers ps3 pl gen	l+tema
_P_ Sg Par	P pers ps3 sg part	l+tema
_P_ Pl Par	P pers ps3 pl part	l+tema
_P_ Sg Ill	P pers ps3 sg ill	l+tema
_P_ Pl Ill	P pers ps3 pl ill	l+tema
_P_ Sg Ine	P pers ps3 sg in	l+tema
_P_ Pl Ine	P pers ps3 pl in	l+tema
_P_ Sg Ela	P pers ps3 sg el	l+tema
_P_ Pl Ela	P pers ps3 pl el	l+tema
_P_ Sg All	P pers ps3 sg all	l+tema
_P_ Pl All	P pers ps3 pl all	l+tema
_P_ Sg Ade	P pers ps3 sg ad	l+tema
_P_ Pl Ade	P pers ps3 pl ad	l+tema
_P_ Sg Abl	P pers ps3 sg abl	l+tema
_P_ Pl Abl	P pers ps3 pl abl	l+tema
_P_ Sg Tra	P pers ps3 sg tr	l+tema
_P_ Pl Tra	P pers ps3 pl tr	l+tema
_P_ Sg Trm	P pers ps3 sg term	l+tema
_P_ Pl Trm	P pers ps3 pl term	l+tema
_P_ Sg Ess	P pers ps3 sg es	l+tema
_P_ Pl Ess	P pers ps3 pl es	l+tema
_P_ Sg Abe	P pers ps3 sg abes	l+tema
_P_ Pl Abe	P pers ps3 pl abes	l+tema
_P_ Sg Com	P pers ps3 sg kom	l+tema
_P_ Pl Com	P pers ps3 pl kom	l+tema

_P_ Sg Nom	P dem sg nom	l+see|too|seesama|toosama|sama|esimene|teine|selline	
_P_ Pl Nom	P dem pl nom	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Gen	P dem sg gen	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Gen	P dem pl gen	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Par	P dem sg part	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Par	P dem pl part	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Ill	P dem sg ill	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Ill	P dem pl ill	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Ine	P dem sg in	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Ine	P dem pl in	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Ela	P dem sg el	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Ela	P dem pl el	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg All	P dem sg all	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl All	P dem pl all	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Ade	P dem sg ad	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Ade	P dem pl ad	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Abl	P dem sg abl	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Abl	P dem pl abl	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Tra	P dem sg tr	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Tra	P dem pl tr	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Trm	P dem sg term	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Trm	P dem pl term	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Ess	P dem sg es	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Ess	P dem pl es	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Abe	P dem sg abes	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Abe	P dem pl abes	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Sg Com	P dem sg kom	l+see|too|seesama|toosama|sama|esimene|teine|selline		
_P_ Pl Com	P dem pl kom	l+see|too|seesama|toosama|sama|esimene|teine|selline		

_P_ Sg Nom	P det sg nom	l+iga|kõik|kumbki	
_P_ Pl Nom	P det pl nom	l+iga|kõik|kumbki		
_P_ Sg Gen	P det sg gen	l+iga|kõik|kumbki		
_P_ Pl Gen	P det pl gen	l+iga|kõik|kumbki		
_P_ Sg Par	P det sg part	l+iga|kõik|kumbki		
_P_ Pl Par	P det pl part	l+iga|kõik|kumbki		
_P_ Sg Ill	P det sg ill	l+iga|kõik|kumbki		
_P_ Pl Ill	P det pl ill	l+iga|kõik|kumbki		
_P_ Sg Ine	P det sg in	l+iga|kõik|kumbki		
_P_ Pl Ine	P det pl in	l+iga|kõik|kumbki		
_P_ Sg Ela	P det sg el	l+iga|kõik|kumbki		
_P_ Pl Ela	P det pl el	l+iga|kõik|kumbki		
_P_ Sg All	P det sg all	l+iga|kõik|kumbki		
_P_ Pl All	P det pl all	l+iga|kõik|kumbki		
_P_ Sg Ade	P det sg ad	l+iga|kõik|kumbki		
